id;channel;channel_ip;channel_reference;channel_timestamp;client_id;created_at;debit_account;direction;error_description;geolocation;host_code;phone_number;response_code;response_message;transaction_code;transaction_type;user_agent;user_agent_version;amount;chargeamount;credit_account;cbs_reference
1;qua;innocent piglet;onto;esteemed;seemingly;mortally;if all throbbing;delightfully muddy;mount because agile;on healthily;synergy;lender;bracelet safely;deceivingly;knowingly;parade;afore boohoo;when;icy gosh;cycle boo;keenly zowie;crossly
2;psst narrowcast;until;now;almost pulverize switchboard;covenant waterlogged qua;adumbrate than peppery;dimly;scuffle recklessly gah;hmph enrich;compete unnecessarily oof;mutate;homeschool excepting furthermore;whoa;essay than quarrel;officially poetry even;unlike collaboration;cardboard;staid;questioningly obediently;or vanadyl pliers;when home meanwhile;yearn
3;when relieve;willing sadly;that that yuck;harvest on;before address;while;brr;garage inquisitively once;republican;versus swift supposing;fantastic eek brr;anxiously upbeat usefully;whenever uh-huh;bank;ruddy airport;and appropriate whose;barring round;till as babyish;musty accountability;after torn graduate;whoa indelible epic;blah how
4;why;scarily phew whoever;imaginary access quicker;tame damaged worthless;diligently within;hmph unto;heavenly;reassuringly;thoroughly before;taxicab;dreary;cheerful frank er;glisten mould;among enormously;than trench that;wholly;onto;from;grown access which;through;anxiously who obtrude;habit besides
5;marimba ugh;for;regular like familiar;bleak;gah goodwill;wherever label;opposite loyally within;before nor boo;afore overstay;beautifully what;devise miscalculate;daily whoever uproot;flu;brood;implode;um section;even where now;unless;whereas;satirise energetic;gah;elevator acidly
6;gosh;per;ick gadzooks;steep;diligently patroller even;even function ah;brr;off inasmuch bright;including energetic wrong;scaffold;readily sin;that solace;mobilize blah goat;wetly;of;digitize busily;graft down;unlawful ride represent;meatloaf miserably deprave;knickers psst till;bobble tragic;sedately
7;beneath for;woot thorough zowie;although breed blah;oh;repossess broadside shakily;accidentally;adaptation cleverly whoever;as annex faithfully;duh huzzah aw;powerful helpfully;except drat strident;and direct;meaningfully;geez lest;pilot;rigidly imaginative;omelet pace yowza;zowie truly;blissfully neck for;schnitzel but out;construe;vengeful hasty yuck
8;er subdued wherever;junior unlike;before gosh favorable;gut knotty furiously;anti slather;from well-worn gray;colorize corporation interesting;solidly indeed joyful;than gloss supposing;ethical;gadzooks but;bourgeoisie gastropod;nutritious aged;reconstitute unethically reword;gah cautiously ice-cream;yet;though scratchy;creator extra-large;hoot muted if;afore provided;husband telescope;carouse
9;evenly unless snowplow;revere;puff;uh-huh soup;between;expansion irritably;above;dental;save;community descent;whine too;tooth;schematise unique;frankly because sometimes;underpants;yuck angle;wherever charm;plus home wise;without sandbar;stiffen gosh;hunt;oof finally
10;huzzah;vaguely;poppy toaster why;oof brilliant;decode;instead pleasant greedy;gently;zowie than;though atop;majestically;circa whirlwind;deserted pish since;than uh-huh commodity;stall;where;wonderful furlough merge;mid;which highly;subexpression;down plugin;courteous hunger;until
