id;m_essagetype;d_escription;m_essageenglish;m_essagesomali;c_reatedon
1;indeed glittering;slowly unruly apud;supposing boohoo back;tennis;2025-01-16T15:43:51
2;gee wearily usher;towards;um vary uh-huh;till;2025-01-16T14:36:47
3;highlight;quarrel highlight geez;adolescent from super;ample limply;2025-01-17T04:07:01
4;er that midst;who clueless;if;below;2025-01-17T04:57:48
5;plus;personalise language contractor;excepting;busily;2025-01-16T14:42:22
6;incidentally blank;duh;premier backburn store;during zesty;2025-01-16T15:35:25
7;mmm crazy;though;inasmuch scowl;pace;2025-01-17T07:27:13
8;see urgently ouch;machine and;satirise sandy yippee;thoroughly mmm;2025-01-17T12:54:19
9;an;fluff sedately;lest;interchange graceful wise;2025-01-17T11:46:19
10;except whitewash;nor why boohoo;alongside mmm miserably;misappropriate;2025-01-16T22:08:54
