id;processed;incomingbitmap;outgoingbitmap;inmessage;messagetocbs;messagefromcbs;cbsprocess;cbsonline;cbsresponse;responsemessage;responsesent;channel;originaldata;field_39_resp;narration;authorised;branchcode;field_39_original;messageclass;txncode;currcode;device;branch_2;longerbranch;datex;timex;posted;attempts;originaldata_2;commission;responsecreated;online;originaldata_3;toswitch;fromswitch;tocbs;fromcbs;postinglegs;commissiontxncode;hostref;requestcreated;requestmessage;outgoingbitmapflex;incomingbitmapflex;requestsent;minicbs;reversed;offlinesenttohost;offlineresponse;source_longerface;mtirrn;hostresponsecode;field_48;source
1;1981;creaking;properly along;lovingly insolence unlawful;opposite;calculating wherever;25359;17388;huzzah however;out;20758;orientate;yearly footrest chilly;huzzah geez implode;warp atop intently;10884;since intensely;however;supposing;yet quadru;huzza;cleaner minus;strictly;14735;2025-01-20T21:27:16;next viciously rotten;12716;22171;usefully redraw zowie;3299;17479;17245;syringe;between anti le;moisten;collaborate che;grumpy;26049;upon scarp;cook athwart quickly;437;best fooey;what underneath;geez before slowly;6216;8045;27664;20699;off summer;or;adult wholly;pity dreamily;scent lone;beneficial
2;2689;glossy;silent;priesthood;regarding heighten bookcase;opposite vice warming;26813;2336;rosin brr pastel;how guilty draw;28818;courteous;zowie;after;tenderly drat;85;woot;book;form rough;indeed meh;booho;annually pointed tem;victoriously vary phew;22511;2025-01-21T05:02:46;actually pfft yet;4639;4088;between;11676;3847;23208;wherever;abaft until;terraform;underpants;scotch;6033;brr;ha adjourn;29088;essential;impeccable who;affiliate however;31151;5377;31095;21315;responsibility gratefully;after;since round yum;convection notwithstanding detain;pushy pepper from;fess
3;30878;avaricious barring peter;off;qua;hose psst before;supposing;3322;6371;when esteemed youthful;phooey kiddingly beyond;21853;make decide;phooey;ew lovingly absent;menacing;7007;merry;although than;prance chr;yuck;perky;treble oh worth;via;32436;2025-01-20T18:07:44;pleased while;12548;27309;promise neighboring ouch;28379;16572;25185;round remark access;excepting;worth hydrolyze;address curry;piglet;11422;reassemble;psst;13026;jealously oh;informal;mount biodegradable;6852;9101;20098;16834;as digital;if purple;exploration ick entrench;hippodrome;prance except inasmuch;drat selfishly
4;596;provided though;opposite;quiet;since;slime;31443;16155;why;during reprimand whereas;10728;unripe;stuff furthermore;suspiciously with gray;anenst summarise throughout;27087;platter;obedience;tinderbox ;triangular;pfft ;cemetery fleck liqui;aha tomography;4711;2025-01-20T10:21:53;giant finally insist;8796;16267;geez;12511;16507;22681;politely bin massage;considering;prohibition;psst muddy;minus within;1722;if brr nee;desecrate boohoo;14886;pave pish geez;deliquesce;ugh;31911;31905;25292;30448;to emphasise;bourgeoisie lively purse;if;fumigate behind;jellyfish ugh;wide come
5;24365;unto question though;among;given boo past;astride knowledgeable absolve;midst commodity inasmuch;2114;19776;measly amidst halt;towards finally;21983;softly so;austere excepting;badly faithfully recommendation;till;18974;excepting;impeccable fake;phooey;salty;descr;dress lest;print possible;4636;2025-01-21T00:44:43;jungle upwardly;9883;11483;burly consequently incidentally;22231;31719;32735;boo;carelessly twin;drat beyond pen;cripple irritab;wonderfully wit;29994;however ah;gloomy;24370;traffic cinch;provided bathrobe toward;testify;9729;23400;17436;23535;vary yum;filthy than qua;alongside;typify when modulo;instead;knavishly
6;2202;circa planula;wonderfully;probate;faithfully;unnecessarily sweetly;2890;28609;jubilantly shadowy heavily;punctuation barring aside;22584;bravely equate to;mockingly approximate;phooey;fooey even;26723;while the wrongly;whose joyfully;which cash;adventurou;afore;kit tusk within;yowza wide-eyed;15060;2025-01-21T04:37:36;alongside oil;26968;31235;tenant;7316;31884;3604;taxicab gigantic;flawless feroci;but lest;but zowie ew;lid;13855;interchang;dislocate instead depot;1188;knotty;gum;boo gradient;8968;9704;29098;14567;via;randomize gray untried;pertain whether;amidst;boo as;pity qua towards
7;19355;reborn silently closely;nor about scornful;right incidentally;investigate clamor which;bashfully quaintly;1148;22301;where;where whereas;7953;blah;pertinent pfft overload;towards connect inasmuch;stealthily lovingly phew;12979;aha;faithfully;blah speed;around dim;egg f;rewrite shadowbox ho;luck character;26792;2025-01-20T21:01:50;punctually upright clavicle;11465;29719;radiant partially;32217;8138;26991;fairly brown extremely;whenever fooey ;heavily yet chu;incandescence d;above upset ont;16498;well-off;vice;8424;among;sadly;apud newsletter loose;9377;9456;6050;18999;rise finally gee;table lustrous but;sprinkles upward;pave maul;toward hmph;ack
8;31323;softly yahoo tenderly;kissingly till politely;fashion until absent;ha ha overstay;instructor trivial;18890;4433;hence except clumsy;accidentally eek construe;24616;joyfully suffice;meh prime;informal;yum;21786;litter with;unwilling when;newsletter;corner but;midst;talkative;huzzah because;13553;2025-01-20T22:08:44;mmm both offset;17984;7997;geez;28536;12375;22724;since axe;pace sans er;mobility;secondary absen;before with;23044;whenever b;carouse whereas worth;24065;brandish supposing;step-mother psst napkin;blah;25726;26292;14622;2158;among;exalted;lest whoa;knitting quit;behind despite;coaxingly
9;18492;drat above metal;gah tackle replicate;meh spattering store;not shoulder;so vastly;7551;1597;settle livid uh-huh;as;12772;diligently toward wa;tentacle hope kettledrum;dislocate drat;throughout;29436;beside axe;sweetly;recompense;round;eek f;reassemble seldom un;fog barring factorise;23564;2025-01-20T15:46:36;likewise shakily knowledgeable;17678;32272;or uh-huh;12830;18988;8225;pacemaker adaptation;supposing;well-made humor;signature;geez after;9952;as;gosh whereas sticker;29052;zowie;though even;urgently amid per;5200;15048;11691;21816;wearily which;unlike;thankfully cuddly information;quart absentmindedly jealous;yum aha;times typeface
10;26251;integer officially saloon;hence weight mummify;explode;upright;following ferociously knit;13245;17530;dampen;blossom ah between;3330;gee violently huzzah;loftily tasty;around of through;stealthily;16200;though;flimsy waft;dusk deafe;towards;decis;yum;mid;32374;2025-01-20T14:05:17;now devastation;23535;10971;limply;9535;27245;21570;till valuable athwart;burdensome disa;zowie how;instead;since under;25128;birth;within;22;whether;without psst;duh an;10737;12342;19053;27993;persecute against yippee;seldom;while councilman traditionalism;whoever;so meanwhile;whenever holster
