id;p_honenumber;c_ustomername;p_inblockedon;p_inblockremarks;p_inresetby;p_inreseton;p_inresetapprovedby;p_inresetapprovedon;p_inresetremarks;b_ranchcode
1;when grave;woot wherever;augment outside fooey;kiddingly;until around for;hmph;amid rowdy;wherever;far-flung regulate pale;curse
2;convince;lamp long;immediate focused;break quietly;midst;confute whose cafe;thin drat vice;draw fooey;luck charming;candid solidly
3;bashfully before;fit dissemble courageously;insist colorize;indeed pfft dull;knowledgeably which acquaintance;boo;although;coliseum golden privilege;sonata;now
4;firsthand except;between calmly gee;for excepting;napkin under;illustrious what aw;seafood;massage;guilty hype vibrant;lone;glorious uncork
5;cornet blindly;cinch;devise usable;ick sometimes until;now tributary vice;silk yowza musty;rigidly dwell;given hm;deer;pfft ill-fated
6;electrify nucleotida;questioningly chap;liquid even cornet;tomorrow annual;footrest within;kiddingly arbitrate awesome;against chainstay;ski;joint whenever or;bid humor language
7;indeed sometimes;inspection geez for;righteously venture;upon how athwart;amid far-off;mom against dishearten;reckless;yahoo;outrank convoke;onto hefty whether
8;icebreaker stylish;lively;muddy;lest;verify;only beautifully;fraudster down;char yuck;sedately low;off amid
9;ugh;times in out;celebrate;round on;closely cop-out arrogantly;sardonic though colorfully;oof abaft;jaunty whoever;chubby;wisely awesome oxidi
10;perfumed incidentall;but down apropos;gah;joyously;anti preregister materialise;justly beside timely;when;off ack;shameless;very huff switchboar
